dist,angle,x,y
1289.516517581445,353.15173917825075,15.315704845814977,1337
1260.3624266379861,353.5075013620033,15.667790014684286,1309
1258.166324083296,361.24576252563367,16.019875183553594,1309
1255.922711325393,368.9703825201604,16.371960352422903,1309
1253.6316730863812,376.6810696526183,16.72404552129221,1309
1255.1169575931367,385.5521012290666,17.07613069016152,1313
1252.7240397936237,393.2575239243923,17.42821585903083,1313
1250.2838172995237,400.94809663961684,17.780301027900137,1313
1247.7963822572124,408.62352896745017,18.132386196769446,1313
1080.238555042428,361.11724439556656,18.484471365638754,1139
1065.695326564363,363.55119438515874,18.836556534508063,1126
1061.552297813269,369.4356764138632,19.1886417033774,1124
1057.3772622417978,375.2829936115415,19.540726872246708,1122
1044.7075426126075,378.03062099296517,19.892812041116017,1111
1032.982595468358,380.98288342057367,20.244897209985325,1101
1015.6447005620992,381.6946976578584,20.596982378854634,1085
1007.6766161962275,385.7834070710156,20.949067547723942,1079
998.7651614408246,389.42541300239196,21.30115271659325,1072
993.5649801281154,394.44851408392674,21.65323788546256,1069
986.4865868652334,398.6730664780132,22.005323054331868,1064
983.0932835303872,404.3471229988434,22.357408223201176,1063
978.7450579297304,409.60848572524543,22.709493392070485,1061
969.7689408994095,412.87310552618675,23.061578560939793,1054
960.7899037006099,416.04297968716253,23.4136637298091,1047
949.0631689418178,417.9092022893423,23.76574889867841,1037
941.9136598830506,421.690238594299,24.11783406754772,1032
934.75369217801,425.3992653491282,24.469919236417027,1027
923.0457987652555,426.9372944377328,24.822004405286336,1017
920.4048384199722,432.60135623123614,25.174089574155644,1017
917.7291222398883,438.2490823639041,25.526174743024953,1017
913.2193043588256,443.0073387048828,25.87825991189426,1015
907.7887057756742,447.2847702148223,26.23034508076357,1012
905.0229981190803,452.854692893373,26.582430249632907,1012
895.0909169272524,454.783740292384,26.934515418502215,1004
891.3906433224051,459.81705165997124,27.286600587371524,1003
887.6623437562865,464.82207722643324,27.638685756240832,1002
882.1401796213634,468.8600041564526,27.99077092511014,999
869.5610287826481,469.0496958984862,28.34285609397945,988
861.3991659169394,471.50342199988455,28.694941262848758,982
853.2401813658491,473.8746594857895,29.047026431718066,976
833.7589015440645,469.7819644218313,29.399111600587375,957
829.9881577641413,474.40031405057783,29.751196769456683,956
825.3270484538328,478.48851928806477,30.103281938325992,954
822.37115048442,483.5511253744856,30.4553671071953,954
818.5253052859396,488.08331727949826,30.80745227606461,953
814.6548457598064,492.5865226334008,31.159537444933918,952
809.9074486504495,496.53793875243764,31.511622613803226,950
806.8409280095731,501.5054505074206,31.863707782672535,950
803.7439398734883,506.4540246820458,32.21579295154184,950
802.3021098230859,512.4600711991376,32.56787812041115,952
801.6561828387398,519.0109483589157,32.91996328928046,955
798.4517211916341,523.9273317227467,33.27204845814977,955
795.2171088380571,528.8239308231441,33.62413362701908,955
791.9524679217093,533.700560757354,33.976218795888386,955
788.6579217202126,538.5570373766878,34.32830396475772,955
786.1559334830133,543.9621753848811,34.68038913362703,956
782.7984390329764,548.7828385140479,35.03247430249634,956
778.596101091841,553.0037173153393,35.38455947136565,955
778.4300296229727,560.1139964160669,35.73664464023496,959
774.9734279940769,564.8868788555009,36.088729809104265,959
768.269678762194,567.2624619121516,36.440814977973574,955
767.9725639724866,574.3684714410472,36.79290014684288,959
764.4285659426716,579.0768235483358,37.14498531571219,959
748.9549349950046,574.6324959020578,37.4970704845815,944
356.12263007789534,276.726710576342,37.84915565345081,451
308.05065218422124,242.42276231590952,38.201240822320116,392
279.184151228258,222.4976622415552,38.553325991189425,357
277.8116303862763,224.20904982207784,38.90541116005873,357
275.6543091131657,225.2791642991941,39.25749632892804,356
274.2647625682137,226.96880845922718,39.60958149779735,356
270.565436411778,226.72305709676752,39.96166666666666,353
269.1671132174534,228.3814028378463,40.31375183553597,353
266.2415798397163,228.72783207220755,40.665837004405276,351
264.8310189271742,230.35956983375945,41.017922173274584,351
257.40680045401734,226.6952559715922,41.37000734214389,343
256.0088965424785,228.27274233053433,41.72209251101323,343
247.17854619501878,223.14068723770876,42.07417767988254,333
245.80267824934464,224.6553880178465,42.42626284875185,333
244.4175284345167,226.1616054814836,42.778348017621155,333
245.21254679506237,229.71026728093665,43.130433186490464,336
245.97309894304757,233.27716261210338,43.48251835535977,339
246.698991286659,236.86200138085664,43.83460352422908,342
245.23881482703197,238.37349622437625,44.18668869309839,342
243.76937779055982,239.87598973553673,44.5387738619677,342
240.87383077840553,239.95790807167836,44.89085903083701,340
235.17012687683334,237.1729567736046,45.242944199706315,334
233.00853194645535,237.8991888177799,45.595029368575624,333
231.54224044890523,239.32653611311335,45.94711453744493,333
229.3763130679788,240.02188859214607,46.29919970631424,332
228.58348303087593,242.15406518469447,46.65128487518355,333
227.0911288374105,243.55414018930296,47.00337004405286,333
228.29999153469157,247.88730073414365,47.355455212922166,337
231.48281810485494,254.4635630541918,47.707540381791475,344
230.58312410353807,256.62506284198423,48.05962555066078,345
240.28595482668638,270.75202660927147,48.41171071953009,362
238.61764501542552,272.2234734318339,48.7637958883994,362
236.94032465238956,273.6846406973183,49.11588105726871,362
820.7897074214046,959.9339853297648,49.467966226138046,1263
814.8754094721776,964.9596193818428,49.820051395007354,1263
808.9303406339544,969.9488151453327,50.17213656387666,1263
802.3189734413044,974.1294908050427,50.52422173274597,1262
795.6867960896057,978.265568508193,50.87630690161528,1261
789.6603243989952,983.1365988864791,51.22839207048459,1261
782.9826192007894,987.1870228226625,51.5804772393539,1260
775.6683878899175,990.4052463654747,51.932562408223205,1258
769.5676957588973,995.1530342838438,52.284647577092514,1258
764.0448100343888,1000.6580476164246,52.63673274596182,1259
754.8714794481695,1001.3416247793418,52.98881791483113,1254
748.7039758586203,1005.961409067711,53.34090308370044,1254
740.7318647033659,1008.1256392995242,53.69298825256975,1251
734.522940264945,1012.6584074724013,54.04507342143906,1251
728.2862791644562,1017.1529361805882,54.397158590308365,1251
722.5992728761081,1022.4256896415113,54.74924375917767,1252
641.7016560066859,1066.8851787696167,58.974265785609404,1245
635.1335235632926,1070.8082962164967,59.32635095447871,1245
627.0268499392312,1072.101361558358,59.67843612334802,1242
620.4269410883738,1075.9342037372562,60.03052129221733,1242
613.8036040074921,1079.7264170647184,60.38260646108664,1242
607.1570888034948,1083.4778583412146,60.73469162995595,1242
600.4876464585316,1087.1883859068278,61.086776798825255,1242
593.3174325815277,1089.9795521911703,61.438861967694564,1241
