dist,angle,x,y,sample
254.46101716733875,-250.39686647832346,-44.5387738619677,357,0
251.69246784879596,-244.646482967123,-44.18668869309839,351,0
252.4697279249434,-242.40263299210474,-43.83460352422908,350,0
254.68011129501386,-241.534761288638,-43.48251835535977,351,0
256.1595354912705,-239.96518992740704,-43.130433186490464,351,0
261.2992195876515,-241.78237703125566,-42.77834801762114,356,0
262.78004041071085,-240.17212652958955,-42.42626284875183,356,0
264.25093827455464,-238.55280677664956,-42.074177679882524,356,0
267.2046208810709,-238.25551531875007,-41.722092511013216,358,0
264.91137189582537,-233.30444710779025,-41.37000734214391,353,0
265.585523254602,-231.01586490451095,-41.0179221732746,352,0
267.0001028592026,-229.37947831742756,-40.66583700440529,352,0
269.16711321745333,-228.38140283784637,-40.31375183553598,353,0
270.5654364117779,-226.72305709676763,-39.96166666666667,353,0
275.8055758410688,-228.24391412472858,-39.609581497797365,358,0
282.62309782670076,-230.97442407080302,-39.257496328928056,365,0
1733.0154086001046,-1398.6374060329617,-38.90541116005873,2227,0
1741.5773243286571,-1387.9616073163681,-38.553325991189425,2227,0
1750.0734755465833,-1377.2333971365574,-38.201240822320116,2227,0
1749.8176236199913,-1359.7037486411837,-37.84915565345081,2216,0
1757.3465900571348,-1348.3167144312054,-37.4970704845815,2215,0
1765.5988254046067,-1337.4923505313493,-37.14498531571219,2215,0
1773.7843891543878,-1326.6174809613342,-36.79290014684288,2215,0
1781.9029722076018,-1315.6925163721633,-36.440814977973574,2215,0
1866.7243156061706,-1360.6764235205494,-36.088729809104265,2310,0
5.681971019145786,-4.088423331504138,-35.73664464023496,7,0
1883.3057523792174,-1337.6320282706113,-35.38455947136565,2310,0
322.6177667144276,-226.17200666792334,-35.032474302496325,394,0
324.0015039668486,-224.18524801427094,-34.68038913362702,394,0
325.3730064479202,-222.19002379729312,-34.32830396475771,394,0
1360.8314134654709,-917.0708064950978,-33.9762187958884,1641,0
1317.2739782556291,-818.7736355126418,-31.86370778267255,1551,0
1322.2804766914182,-810.6635189526639,-31.511622613803226,1551,0
1327.2370438796847,-802.5227905508452,-31.159537444933918,1551,0
1341.591318842222,-799.9854581223257,-30.80745227606461,1562,0
1347.3439289383107,-792.2331330820974,-30.4553671071953,1563,0
1366.0287311410923,-791.9637022598052,-30.103281938325992,1579,0
1402.1243460136907,-801.4189405770745,-29.751196769456683,1615,0
1426.1894689943927,-803.5873309911576,-29.399111600587375,1637,0
1437.2201415629672,-798.206905937129,-29.047026431718066,1644,0
1444.7295583148668,-790.8005458592768,-28.694941262848758,1647,0
1450.4418779694374,-782.3824887051672,-28.34285609397945,1648,0
1455.2222382542611,-773.4547415914253,-27.99077092511014,1648,0
1459.0617566532976,-764.0338934051249,-27.638685756240818,1647,0
1416.6268050407916,-730.756112009964,-27.28660058737151,1594,0
1407.7176870798123,-715.2425556988785,-26.9345154185022,1579,0
1412.0862786857983,-706.5786166784937,-26.582430249632893,1579,0
1401.1521328276708,-690.3743192446174,-26.230345080763584,1562,0
1405.368032914764,-681.7511951300761,-25.878259911894276,1562,0
1424.8714690430515,-680.4280246338299,-25.526174743024967,1579,0
1429.9308207507925,-672.0847028961194,-25.17408957415566,1580,0
1430.40332237369,-661.6058761394958,-24.82200440528635,1576,0
1434.4418878992635,-652.8035464364425,-24.46991923641704,1576,0
1438.4262867981472,-643.9765659153248,-24.11783406754772,1576,0
1433.2043611985407,-631.095285231543,-23.76574889867841,1566,0
1435.2200662729265,-621.4815857026955,-23.4136637298091,1564,0
1439.0119768184786,-612.650414651761,-23.061578560939793,1564,0
1442.749548164089,-603.7961090238302,-22.709493392070485,1564,0
1525.0431086938931,-627.2515576905859,-22.357408223201176,1649,0
2069.396674702257,-836.3141770478622,-22.005323054331868,2232,0
166.4105782752955,-34.74938039853011,-11.794853157121878,170,0
166.62097149950503,-33.72613017470482,-11.44276798825257,170,0
166.82507287178376,-32.70160640280603,-11.090682819383261,170,0
210.2523246034264,-39.87430248738425,-10.738597650513952,214,0
